Cohort,Customers,0-6 days,7-13 days,14-20 days,21-27 days,28-34 days,35-41 days,42-48 days,49-55 days
07/01-07/07,983 customers,"13.84% orderers (136)
13.84% 1st time (136) "
06/24-06/30,665 customers,"14.74% orderers (98)
14.74% 1st time (98) ","3.46% orderers (23)
1.80% 1st time (12) "
06/17-06/23,816 customers,"16.79% orderers (137)
16.79% 1st time (137) ","4.66% orderers (38)
1.84% 1st time (15) ","1.84% orderers (15)
0.37% 1st time (3) "
06/10-06/16,916 customers,"16.16% orderers (148)
16.16% 1st time (148) ","4.80% orderers (44)
1.75% 1st time (16) ","4.04% orderers (37)
0.98% 1st time (9) ","1.97% orderers (18)
0.33% 1st time (3) "
06/03-06/09,755 customers,"13.91% orderers (105)
13.91% 1st time (105) ","4.77% orderers (36)
2.25% 1st time (17) ","4.50% orderers (34)
1.06% 1st time (8) ","3.31% orderers (25)
0.93% 1st time (7) ","2.78% orderers (21)
0.93% 1st time (7) "
05/27-06/02,791 customers,"13.53% orderers (107)
13.53% 1st time (107) ","4.42% orderers (35)
1.26% 1st time (10) ","4.42% orderers (35)
1.90% 1st time (15) ","4.05% orderers (32)
1.14% 1st time (9) ","3.92% orderers (31)
0.63% 1st time (5) ","1.39% orderers (11)
0.38% 1st time (3) "
05/20-05/26,805 customers,"14.41% orderers (116)
14.41% 1st time (116) ","5.59% orderers (45)
2.24% 1st time (18) ","5.09% orderers (41)
1.24% 1st time (10) ","3.85% orderers (31)
0.87% 1st time (7) ","5.09% orderers (41)
0.75% 1st time (6) ","4.10% orderers (33)
0.25% 1st time (2) ","2.61% orderers (21)
0.12% 1st time (1) "
05/13-05/19,543 customers,"15.84% orderers (86)
15.84% 1st time (86) ","3.50% orderers (19)
1.84% 1st time (10) ","4.97% orderers (27)
1.66% 1st time (9) ","4.05% orderers (22)
0.92% 1st time (5) ","4.24% orderers (23)
1.47% 1st time (8) ","4.97% orderers (27)
1.29% 1st time (7) ","3.50% orderers (19)
0.55% 1st time (3) ","2.76% orderers (15)
0.37% 1st time (2) "
